original_name,rxcui
Nitroglycerin,4917
Nitroglycerin,4917
Gonadotropin,340705
Griseofulvin,5021
Griseofulvin,5021
Haloperidol,5093
Haloperidol,5093
Halothane,5095
Heparin,235473
Heptaminol,5254
Heptaminol,5254
Hydralazine,5470
Hydrochlorothiazide,5487
Hydrocortisone,5492
Hydrocortisone,5492
Hydrocortisone,5492
Hydrocortisone acetate,27197
Hydrocortisone acetate,27197
Hydroxocobalamin,5514
Hydroxyurea,5552
Scopolamine butylbromide,1851
Scopolamine butylbromide,1851
Scopolamine hydrobromide,9603
Ibuprofen,5640
Ibuprofen,5640
Ibuprofen,5640
Ifosfamide,5657
Imipenem / Cilastatin,34482
Insulin,253182
NPH Insulin,317235
Iohexol,5956
Iopromide,27781
Ipratropium,7213
Isoniazid,6038
Isoniazid,6038
Isoniazid / Pyrazinamide / Rifampin,214662
Isosorbide dinitrate,6058
Ivermectin,6069
Potassium chloride,8591
Potassium chloride,8591
Potassium iodide,8597
Potassium iodide,8597
Potassium permanganate,8604
Kanamycin,6099
Zinc sulfate,39954
Ketamine,6130
Ketoconazole,6135
Asparaginase,1156
Lactulose,6218
Lamivudine,68244
Lamivudine,68244
Lamivudine / Tenofovir,2003201
Lamivudine / Tenofovir / Efavirenz,2003222
Lamivudine / Zidovudine,214671
Lamivudine / Zidovudine / Nevirapine,687428
Levodopa / Carbidopa,103990
Levofloxacin,82122
Levomepromazine,6852
Levomepromazine,6852
Levonorgestrel,6373
Levonorgestrel,6373
Levothyroxine,10582
Lidocaine,6387
Lidocaine / Epinephrine,107602
Loperamide,6468
Lopinavir / Ritonavir,284640
Lopinavir / Ritonavir,284640
Loratadine,28889
Magnesium hydroxide / Aluminum hydroxide,1009149
Magnesium hydroxide / Aluminum hydroxide,1009149
Magnesium sulfate,6585
Magnesium sulfate,6585
Mannitol,6628
Mebendazole,6672
Medroxyprogesterone,6691
Mefloquine,6694
Meglumine iotroxate,52527
Meloxicam,41493
Meloxicam,41493
Pancreatin,7880
Mercaptopurine,103
Mesna,44
Mesna,44
Metformin,6809
Methadone,6813
Methionine,6837
Methotrexate,6851
Methotrexate,6851
Methyldopa,6876
Methylprednisolone,6902
Methylprednisolone,6902
Metoclopramide,6915
Metoclopramide,6915
Metronidazole,6922
Metronidazole,6922
Metronidazole,6922
Metronidazole,6922
Miconazole,6932
Midazolam,6960
Mifepristone / Misoprostol,6964
Misoprostol,42331
Mitomycin,632
Morphine,7052
Morphine,7052
Morphine,7052
Morphine,7052
Bismuth,1599
Naloxone,7242
Naphazoline,7247
Edetate calcium disodium,1903
Sodium chloride,9863
Sodium bicarbonate,36676
Sodium nitrite,9894
Sodium thiosulfate,36726
Sodium thiosulfate,36726
Neomycin,7299
Neostigmine,7315
Neostigmine,7315
Nevirapine,53654
Nevirapine,53654
Niclosamide,7402
Nifedipine,7417
Nifedipine,7417
Nitrofurantoin,7454
Nitrofurantoin,7454
Norethindrone,7514
Norethindrone,7514
Sterile water for injection,2467748
Hydrogen peroxide,5499
Nystatin,7597
Nystatin,7597
Nystatin,7597
Ofloxacin,7623
Ofloxacin,7623
Omeprazole,7646
Ondansetron,26225
Ondansetron,26225
Ondansetron,26225
Oral rehydration salts,1431637
Oseltamivir,260101
Oseltamivir,260101
Oxygen,7806
Oxytocin,7824
Aminosalicylic acid,7833
Pancuronium,7883
Pantoprazole,40790
Pantoprazole,40790
Papaverine,7895
Papaverine,7895
Acetaminophen,161
Acetaminophen,161
Acetaminophen,161
Acetaminophen,161
Penicillamine,7975
Penicillamine,7975
Pentamidine,7994
Permethrin,33199
Permethrin,33199
Meperidine,6754
Phenobarbital,8134
Phenobarbital,8134
Phenobarbital,8134
Penicillin V,7984
Phenytoin,8183
Phenytoin,8183
Phenytoin,8183
Pilocarpine,8328
Pilocarpine,8328
Piroxicam,8356
Piroxicam,8356
Povidone-iodine,8611
Pralidoxime,34345
Praziquantel,8628
Prednisolone,8638
Prednisolone,8638
Prednisolone,8638
Primaquine,8687
Procaine,8701
Procarbazine,8702
Progesterone,8727
Promethazine,8745
Promethazine,8745
Propranolol,8787
Propranolol,8787
Propylthiouracil,8794
Protamine,8826
Pyrantel,8984
Pyrantel,8984
Pyrazinamide,8987
Pyridostigmine,9000
Pyrimethamine,9010
Quinine,9071
Quinine,9071
Ranitidine,9143
Ribavirin,9344
Rifabutin,55672
Rifampin,9384
Rifampin,9384
Rifampin / Isoniazid,106876
Ringer's lactate,35629
Risperidone,35636
Ritonavir,85762
Ritonavir,85762
Albuterol,435
Albuterol,435
Albuterol,435
Albuterol,435
Iron,90176
Iron / Folic acid,105658
Simvastatin,36567
Spectinomycin,270
Spironolactone,9997
Streptokinase,10106
Streptomycin,10109
Sulfadiazine,10171
Sulfadoxine / Pyrimethamine,203218
Sulfamethoxazole / Trimethoprim,10831
Sulfamethoxazole / Trimethoprim,10831
Sulfamethoxazole / Trimethoprim,10831
Sulpiride,10239
Sulpiride,10239
Poractant alfa,236381
Succinylcholine,10154
Tamoxifen,10324
Tenofovir,117466
Terbinafine,37801
Terbutaline,10368
Testosterone,10379
Testosterone,10379
Tetracaine,10391
Tetracycline,10395
Activated charcoal,272
Thiamine,10454
Thiamine,10454
Thiopental,10493
Timolol,10600
Triclabendazole,2118525
Tropicamide,10869
Urea,11002
Vancomycin,11124
Vasopressin,11149
Verapamil,11170
Verapamil,11170
Vecuronium,71535
Vinblastine,11198
Vincristine,11202
Vitamin A,11246
Vitamin A / Vitamin D,97016
Riboflavin,9346
Pyridoxine,684879
Ascorbic acid,1151
Phytonadione,8308
Phytonadione,8308
Niacinamide,7405
Warfarin,11289
Methylene blue,6878
Xylometazoline,39841
Zidovudine,11413
Zidovudine,11413
Zidovudine,11413
Albumin,433
Immune Globulin,1426680
Rabies immunoglobulin,89886
Antivenom,2101271
Tetanus immunoglobulin,1727875
Factor IX Complex,1670383
Factor VIII,4257
Measles-Mumps-Rubella Vaccine,705030
Diphtheria-Tetanus-Pertussis-Poliovirus Vaccine,834765
Diphtheria-Tetanus-Pertussis-Hepatitis B-Haemophilus influenzae type b Vaccine,2368450
Diphtheria-Tetanus-Pertussis Vaccine,309949
Diphtheria-Tetanus Vaccine,758475
Measles-Rubella Vaccine,705031
Poliovirus Vaccine,8471
Diphtheria-Tetanus-Pertussis-Haemophilus influenzae type b Vaccine,2388452
Haemophilus influenzae type b Vaccine,50937
Pneumococcal Vaccine,106467
Influenza Vaccine,5806
Rabies Vaccine,9097
BCG Vaccine,1344
Meningococcal Vaccine,203033
Rubella Vaccine,9486
Measles Vaccine,6669
Cholera Vaccine,2427
Typhoid Vaccine,10953
Varicella Vaccine,1292422
Rotavirus Vaccine,154394
HPV Vaccine,2629297
Tetanus Vaccine,2388498
Hepatitis A Vaccine,253174
Hepatitis B Vaccine,797752
Meningococcal Vaccine,203033
Japanese Encephalitis Vaccine,1609239
Pneumococcal conjugate vaccine,106467
Diphtheria-Tetanus-Pertussis-Poliovirus-Hepatitis B-Haemophilus influenzae type b Vaccine,2368450
